2026-01-16 13:23:41 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:41 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:41 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:41 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:41 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:41 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:41 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:42 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:42 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:42 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:42 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:42 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:42 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:43 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:43 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:43 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:43 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:43 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:43 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:44 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:44 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:44 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:44 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:44 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:44 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:45 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:45 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:45 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:45 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:45 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:45 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:46 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:46 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:46 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:46 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:46 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:46 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:47 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:47 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:47 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:47 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:47 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:47 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:49 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:49 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:49 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:49 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:49 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:49 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:50 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:50 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:50 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:50 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:50 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:51 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:51 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
